gene	log2fc	p
Itln1	-3.76485728289843	0.288814339724036
Psrc1	-3.63361274962018	0.367434017680025
C1s1	-3.52669754570367	0.0412022004082293
Fam131a	-3.41122032828373	0.0769042384722133
Hpgd	-3.41122032828373	0.137138378346578
Gm11520	-3.32875816809176	0.559592769247344
Armcx2	-3.24129532684141	0.532326551144828
2010016I18Rik	-3.24129532684141	0.594525322585459
Gzmc	-3.11576444475756	0.153790863349359
Gm3839	-3.04865024889902	0.718325019220712
Cdh13	-2.99618282900489	0.245115399707906
Gm28935	-2.94173504498251	0.321041594012544
A530010L16Rik	-2.94173504498251	0.321041594012544
Inpp5j	-2.82625782756257	0.413300005037089
Cldn1	-2.82625782756257	0.730768154772084
Pacrg	-2.82625782756257	0.779644687114749
Bmp8a	-2.82625782756257	0.82282940892119
P4ha2	-2.82625782756257	0.824458075192221
Gm56632	-2.76485728289843	0.511232841158458
Klrg2	-2.76485728289843	0.511232841158458
Mgarp	-2.70072694547872	0.423021566456643
Gm56723	-2.70072694547872	0.511819471335535
Gm9895	-2.70072694547872	0.63171126203196
Lzts3	-2.70072694547872	0.880879440721515
Gzmf	-2.63361274962017	0.511219037949736
D130040H23Rik	-2.63361274962017	0.511219037949736
Rasd1	-2.63361274962017	0.635796656010752
4930459C07Rik	-2.5988473314595	0.143111803844321
Enah	-2.56322342172878	0.508032435405286
St6galnac3	-2.56322342172878	0.747460965842867
Dennd6b	-2.56322342172878	0.944748843713917
Gm56692	-2.56322342172878	0.967106466420424
Atg9b	-2.56322342172878	0.967106466420424
Gzma	-2.49610922587024	4.77342462727999e-05
Mir17hg	-2.489222840285	0.635489059658243
Gm47794	-2.489222840285	0.751571589302997
Phldb2	-2.489222840285	0.751571589302997
Klk8	-2.489222840285	0.751571589302997
Plppr4	-2.489222840285	0.751571589302997
Gm48066	-2.489222840285	0.751571589302997
Enthd1	-2.45074869247037	0.240918511052926
D130062J10Rik	-2.41122032828373	0.538809455057393
Carns1	-2.41122032828373	0.589998892067501
Cpeb1	-2.41122032828373	0.752091623570681
Gm13620	-2.41122032828373	0.752091623570681
